20140824T102044.15  38.20666 -122.29787 0 0  8.919
20140824T102145.51  38.23206 -122.31974 0 0  9.121
20140824T102444.30  38.25017 -122.33189 0 0 11.019
20140824T102716.09  38.23045 -122.32031 0 0  9.934
20140824T102725.92  38.23772 -122.32785 0 0  7.077
20140824T103703.76  38.21637 -122.32695 0 0  9.859
20140824T103825.63  38.21873 -122.33124 0 0 10.221
20140824T104208.53  38.21752 -122.30880 0 0  5.890
20140824T104539.96  38.22640 -122.31626 0 0  7.893
20140824T104609.84  38.22182 -122.31452 0 0  7.376
20140824T104725.85  38.20544 -122.31821 0 0 10.723
20140824T104747.99  38.20590 -122.31173 0 0  6.592
20140824T105137.32  38.21742 -122.32551 0 0 10.733
20140824T105238.77  38.22058 -122.31195 0 0  8.016
20140824T105349.37  38.22160 -122.31374 0 0  8.648
20140824T105502.93  38.24037 -122.33335 0 0  8.875
20140824T105702.49  38.20933 -122.31553 0 0  6.176
20140824T105746.60  38.21330 -122.31712 0 0 12.999
20140824T110437.71  38.22463 -122.31840 0 0  9.127
20140824T110706.68  38.22048 -122.34207 0 0 10.313
20140824T110730.25  38.22405 -122.32210 0 0  9.615
20140824T111307.02  38.24834 -122.32613 0 0 10.089
20140824T111537.05  38.27590 -122.35271 0 0  6.689
20140824T111549.02  38.22110 -122.32667 0 0  9.662
20140824T111830.59  38.23134 -122.32266 0 0 11.233
20140824T112207.83  38.21623 -122.31084 0 0  9.844
20140824T112923.66  38.22663 -122.31221 0 0  7.961
20140824T112944.97  38.27453 -122.34561 0 0  9.241
20140824T113158.36  38.19446 -122.30317 0 0  7.983
20140824T113230.20  38.23166 -122.34809 0 0  8.843
20140824T113251.08  38.21720 -122.31399 0 0  7.060
20140824T113317.67  38.22112 -122.31478 0 0  8.451
20140824T113349.68  38.22589 -122.33074 0 0 10.096
20140824T113428.47  38.23202 -122.32263 0 0  7.890
20140824T113731.34  38.23270 -122.31807 0 0  8.707
20140824T114042.20  38.24088 -122.31378 0 0  8.863
20140824T114059.97  38.22247 -122.31450 0 0  7.448
20140824T114154.44  38.23641 -122.34455 0 0 11.500
20140824T114556.01  38.22525 -122.33910 0 0 10.143
20140824T115256.28  38.22037 -122.31789 0 0  8.144
20140824T115950.79  38.23644 -122.32960 0 0  7.776
20140824T120120.43  38.23261 -122.31548 0 0  7.744
20140824T120722.94  38.24223 -122.33128 0 0  6.973
20140824T120850.56  38.27800 -122.34981 0 0  8.814
20140824T121024.11  38.23351 -122.32569 0 0  7.197
20140824T121909.97  38.22975 -122.31960 0 0  8.996
20140824T123331.03  38.24384 -122.32456 0 0  8.446
20140824T123358.01  38.20983 -122.31918 0 0  6.212
20140824T123522.77  38.22110 -122.31217 0 0  9.810
20140824T123738.62  38.23982 -122.33195 0 0  9.085
20140824T124528.42  38.28584 -122.35388 0 0  7.895
20140824T124712.58  38.23362 -122.33619 0 0  7.961
20140824T125231.85  38.21944 -122.31127 0 0  8.076
20140824T125637.88  38.22172 -122.31531 0 0  9.633
20140824T131025.90  38.24479 -122.32940 0 0  8.978
20140824T132147.15  38.25231 -122.30849 0 0  7.939
20140824T132429.65  38.25362 -122.33016 0 0 10.855
20140824T133150.77  38.21107 -122.32843 0 0  7.133
20140824T133348.37  38.22489 -122.32286 0 0  8.007
20140824T133701.36  38.22305 -122.31021 0 0  8.276
20140824T140447.64  38.28767 -122.35301 0 0  8.197
20140824T141210.43  38.19439 -122.34093 0 0  6.196
20140824T141241.40  38.20801 -122.31879 0 0  6.962
20140824T142219.57  38.24272 -122.32931 0 0  9.205
20140824T142344.90  38.23327 -122.29126 0 0 11.575
20140824T142926.58  38.22297 -122.32977 0 0  9.539
20140824T144940.13  38.23921 -122.33230 0 0  9.321
20140824T145423.67  38.19929 -122.33758 0 0  9.620
20140824T150256.68  38.23766 -122.33013 0 0  8.872
20140824T150733.68  38.24287 -122.33785 0 0 11.703
20140824T151048.71  38.21897 -122.31174 0 0  8.844
20140824T151357.44  38.21885 -122.31753 0 0  7.657
20140824T154351.80  38.22829 -122.32207 0 0  7.264
20140824T155010.96  38.27470 -122.34616 0 0  9.147
20140824T160101.90  38.16375 -122.29299 0 0  6.689
20140824T160646.92  38.22058 -122.32003 0 0  8.198
20140824T160713.11  38.22068 -122.31989 0 0  8.254
20140824T161646.43  38.23866 -122.33013 0 0  9.116
20140824T161853.32  38.27588 -122.34569 0 0  9.224
20140824T162812.90  38.21240 -122.31326 0 0  8.285
20140824T170842.54  38.28401 -122.35569 0 0  8.836
20140824T171910.29  38.22972 -122.32244 0 0  9.128
20140824T172001.52  38.29101 -122.35584 0 0  9.047
20140824T173330.03  38.22578 -122.31709 0 0  9.118
20140824T174536.74  38.23883 -122.32783 0 0  8.629
20140824T175039.78  38.20875 -122.31928 0 0  6.342
20140824T180019.85  38.26331 -122.33462 0 0  9.628
20140824T185108.35  38.23675 -122.32522 0 0  9.099
20140824T185317.61  38.22404 -122.31344 0 0  8.948
20140824T191217.13  38.21650 -122.31210 0 0  7.331
20140824T192954.43  38.24381 -122.33335 0 0  7.948
20140824T195107.88  38.20989 -122.32185 0 0  6.386
20140824T202753.06  38.21501 -122.31210 0 0  8.017
20140824T210042.73  38.23779 -122.32874 0 0  7.662
20140824T213735.67  38.24291 -122.32940 0 0  9.220
20140824T213831.78  38.24057 -122.33046 0 0  8.965
20140825T000511.78  38.22385 -122.31591 0 0  7.605
20140825T001713.69  38.22102 -122.31540 0 0  7.735
20140825T010239.06  38.22100 -122.31052 0 0  9.601
20140825T013208.74  38.25402 -122.33781 0 0  9.376
20140825T023056.79  38.23846 -122.33459 0 0  7.513
20140825T032408.61  38.21052 -122.31264 0 0  8.980
20140825T040056.61  38.20719 -122.31493 0 0  6.473
20140825T051357.12  38.24477 -122.33214 0 0  8.280
20140825T055731.32  38.24997 -122.32928 0 0 10.009
20140825T062824.18  38.27723 -122.34934 0 0  7.827
20140825T065230.48  38.24061 -122.33404 0 0  7.349
20140825T121059.83  38.22846 -122.32449 0 0 10.945
20140825T154002.01  38.22816 -122.32193 0 0  8.550
20140825T200246.23  38.24391 -122.33022 0 0 10.651
20140825T200846.29  38.23717 -122.33086 0 0  7.504
20140825T211647.09  38.24432 -122.32941 0 0 10.249
